ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT,image
0.03217276558279991,0.01490414422005415,0.0023754078429192305,0.010169056244194508,0.9112722277641296,0.0176360085606575,0.0038595274090766907,0.007610803935676813,img_00005.jpg
0.5715109705924988,0.03783020004630089,0.014258861541748047,0.017320863902568817,0.1872079223394394,0.0822063460946083,0.022490089759230614,0.06717474013566971,img_00007.jpg
0.4929055869579315,0.07078204303979874,0.02322796918451786,0.03774534910917282,0.12757444381713867,0.1381945163011551,0.027334952726960182,0.0822351798415184,img_00009.jpg
0.4229446351528168,0.05075353384017944,0.014718792401254177,0.01518229115754366,0.020879169926047325,0.1615801751613617,0.012601877562701702,0.3013395369052887,img_00018.jpg
0.23381038010120392,0.06119774654507637,0.03676581382751465,0.010497684590518475,0.027044961228966713,0.1849898099899292,0.03634488955140114,0.4093487560749054,img_00027.jpg
0.5610954761505127,0.051391154527664185,0.01636730693280697,0.01235174760222435,0.18868522346019745,0.039938751608133316,0.026748130097985268,0.10342219471931458,img_00030.jpg
0.3448680341243744,0.10708323866128922,0.024600809440016747,0.017915111035108566,0.06422945111989975,0.08845674246549606,0.17657065391540527,0.17627595365047455,img_00040.jpg
0.8986214995384216,0.015775931999087334,0.002217022469267249,0.004007712472230196,0.020311472937464714,0.018800674006342888,0.001962776994332671,0.03830290213227272,img_00046.jpg
0.5469819903373718,0.07338229566812515,0.03037378378212452,0.015618971548974514,0.056336428970098495,0.14004237949848175,0.02651984430849552,0.11074435710906982,img_00053.jpg
0.5496189594268799,0.0713912770152092,0.013400547206401825,0.06629950553178787,0.05269715189933777,0.14557157456874847,0.024171046912670135,0.07684990763664246,img_00071.jpg
0.5251994729042053,0.03825264051556587,0.007020910736173391,0.03951530158519745,0.038895707577466965,0.27662158012390137,0.011298216879367828,0.06319620460271835,img_00075.jpg
0.2532179057598114,0.03644518554210663,0.021641714498400688,0.007165005896240473,0.02473250776529312,0.07129225134849548,0.016335224732756615,0.5691702365875244,img_00102.jpg
0.7202816009521484,0.02367050014436245,0.0036749860737472773,0.05021236836910248,0.021823322400450706,0.15280161798000336,0.0017783640651032329,0.025757305324077606,img_00103.jpg
0.7549305558204651,0.02505362033843994,0.006202876567840576,0.004680347163230181,0.04435604810714722,0.03306252881884575,0.015126281417906284,0.11658769100904465,img_00109.jpg
0.04106186330318451,0.007597703021019697,0.0031921742483973503,0.0055728633888065815,0.665442943572998,0.015844231471419334,0.04334035888314247,0.217947855591774,img_00119.jpg
0.3936336934566498,0.025056147947907448,0.019013525918126106,0.0037979697808623314,0.01559657882899046,0.041324466466903687,0.029339080676436424,0.47223854064941406,img_00120.jpg
0.6153400540351868,0.05226919427514076,0.018478626385331154,0.012713819742202759,0.0725211575627327,0.07102593034505844,0.02389460802078247,0.13375665247440338,img_00125.jpg
0.0004254439554642886,0.005496392026543617,0.033334966748952866,0.0014560054987668991,0.00024380593094974756,0.004553886596113443,0.0031913239508867264,0.9512980580329895,img_00128.jpg
0.3975379765033722,0.07083094865083694,0.02434319257736206,0.021708855405449867,0.0658002495765686,0.12974154949188232,0.09404432773590088,0.1959928721189499,img_00129.jpg
0.2761816680431366,0.03887658193707466,0.013734412379562855,0.018861765041947365,0.4654242694377899,0.06757091730833054,0.030887171626091003,0.08846328407526016,img_00133.jpg
0.6710044741630554,0.041181501001119614,0.015765182673931122,0.009560641832649708,0.07735303044319153,0.049263615161180496,0.02414151094853878,0.11173003911972046,img_00138.jpg
0.0029676032718271017,0.00247082463465631,0.008318614214658737,0.0021546673960983753,0.0006506341160275042,0.01789892464876175,0.007540976628661156,0.957997739315033,img_00141.jpg
0.03084147535264492,0.016241956502199173,0.020453184843063354,0.0025107557885348797,0.0025515153538435698,0.0249358918517828,0.009916950948536396,0.8925483226776123,img_00152.jpg
8.950512710725889e-05,0.001415623934008181,0.008475341834127903,0.0002356490440433845,2.633225085446611e-05,0.0022577419877052307,0.0009127852972596884,0.9865870475769043,img_00161.jpg
0.45582637190818787,0.07578177005052567,0.04432012513279915,0.013812321238219738,0.09987238794565201,0.045393019914627075,0.03776553273200989,0.22722847759723663,img_00164.jpg
0.6362486481666565,0.02622726373374462,0.008733068592846394,0.052490755915641785,0.1992390900850296,0.036128297448158264,0.009908906184136868,0.03102394938468933,img_00170.jpg
0.08971944451332092,0.04529853165149689,0.030656306073069572,0.10095439106225967,0.014988974668085575,0.6378040909767151,0.011924799531698227,0.06865338236093521,img_00171.jpg
0.0048109074123203754,0.002851841738447547,0.00018561002798378468,0.008025551214814186,0.9832883477210999,0.00045243988279253244,0.0001760250306688249,0.00020920130191370845,img_00172.jpg
0.15935704112052917,0.040775131434202194,0.019853156059980392,0.10416412353515625,0.030541500076651573,0.5917761921882629,0.008564108051359653,0.044968802481889725,img_00175.jpg
0.39998659491539,0.09052294492721558,0.056899428367614746,0.014423146843910217,0.06100020930171013,0.21926133334636688,0.04241003468632698,0.11549627035856247,img_00180.jpg
0.013862141408026218,0.0016332833329215646,0.000697180803399533,0.0018112860852852464,0.9726724624633789,0.00563751021400094,0.001442447304725647,0.002243640599772334,img_00196.jpg
0.4356292188167572,0.01217479258775711,0.0036271766293793917,0.002018567407503724,0.016110386699438095,0.019594181329011917,0.018811924383044243,0.49203380942344666,img_00212.jpg
0.7676904797554016,0.038340967148542404,0.015208682976663113,0.007414950057864189,0.02935427613556385,0.08311133831739426,0.0068790484219789505,0.05200028419494629,img_00223.jpg
0.7193859219551086,0.03921990469098091,0.00947311520576477,0.017487406730651855,0.05740611255168915,0.08858853578567505,0.008408344350755215,0.06003054976463318,img_00230.jpg
0.03322643041610718,0.13503681123256683,0.0035336900036782026,0.003400496207177639,0.009836815297603607,0.01186409592628479,0.7205786108970642,0.08252302557229996,img_00232.jpg
0.8708982467651367,0.0185292586684227,0.006603222340345383,0.005154547747224569,0.03194015845656395,0.028930097818374634,0.0023699188604950905,0.03557451441884041,img_00244.jpg
0.6341572403907776,0.04723970964550972,0.03771694749593735,0.014384831301867962,0.045133959501981735,0.1449257880449295,0.017396369948983192,0.059045180678367615,img_00272.jpg
0.42429232597351074,0.030185988172888756,0.008226902224123478,0.009163408540189266,0.39141330122947693,0.03205929324030876,0.01096801832318306,0.09369077533483505,img_00280.jpg
0.07651418447494507,0.046975791454315186,0.037700239568948746,0.10501141101121902,0.010298280045390129,0.6186416149139404,0.010307456366717815,0.09455099701881409,img_00282.jpg
0.4680007994174957,0.06570565700531006,0.05039263889193535,0.011101619340479374,0.03791610524058342,0.10293824225664139,0.029277151450514793,0.23466773331165314,img_00285.jpg
0.6828241944313049,0.01945926621556282,0.008363786153495312,0.0026254234835505486,0.20981459319591522,0.03421344980597496,0.007205212023109198,0.03549407050013542,img_00289.jpg
0.3317183256149292,0.04875943064689636,0.015394856221973896,0.010275561362504959,0.035419728606939316,0.05822831392288208,0.051331713795661926,0.44887208938598633,img_00292.jpg
0.31130334734916687,0.0787961333990097,0.023922070860862732,0.019079701974987984,0.054371997714042664,0.11363419890403748,0.1686423420906067,0.23025023937225342,img_00302.jpg
0.9924855828285217,0.0006542025948874652,8.274174615507945e-05,3.310737156425603e-05,0.0006721339304931462,0.0008942680433392525,0.00014855031622573733,0.005029372405260801,img_00311.jpg
0.8650937676429749,0.019138457253575325,0.004978365730494261,0.005921341013163328,0.023883864283561707,0.0278933048248291,0.004623893648386002,0.04846696928143501,img_00320.jpg
0.5801778435707092,0.056798070669174194,0.017025010660290718,0.01208487618714571,0.0907084122300148,0.06110180541872978,0.04723731800913811,0.13486666977405548,img_00331.jpg
